S.no,vegetableName,price,imageProperties_vegetableHeight,imageProperties_vegetableWidth,imageProperties_vegetableTop,units,id,shopingMallPrice,retailPrice,table_imageUrl,table_imageSize,table_heightRatio,date
3633,Bottle Gourd,20,64,64,1165,1kg,bottleGourd,24 - 33,23 - 25,resource/images/vegetables/bottleGourd-64.png,1.2,1,4/3/2022
3634,Butter Beans,45,64,82,1229,1kg,butterBeans,54 - 74,52 - 57,resource/images/vegetables/butterBeans-64.png,1.1,0.8,4/3/2022
3635,Broad Beans,24,64,96,1293,1kg,broadBeans,29 - 40,28 - 30,resource/images/vegetables/broadBeans-64.png,1.2,0.66,4/3/2022
3636,Cabbage,21,64,70,1357,1kg,cabbage,25 - 35,24 - 27,resource/images/vegetables/cabbage-64.png,1,0.92,4/3/2022
3637,Carrot,29,85,64,464,1kg,carrot,35 - 48,33 - 37,resource/images/vegetables/carrot-64.png,1,1.28,4/3/2022
3638,Cauliflower,25,64,71,1421,1kg,cauliflower,30 - 41,29 - 32,resource/images/vegetables/cauliflower-64.png,1,0.92,4/3/2022
3639,Cluster beans,32,64,85,1485,1kg,clusterBeans,38 - 53,37 - 41,resource/images/vegetables/clusterBeans-64.png,1,0.77,4/3/2022
3640,Coconut,24,64,77,1549,1kg,coconut,29 - 40,28 - 30,resource/images/vegetables/coconut-64.png,1,0.85,4/3/2022
3641,Colocasia Leaves,16,64,79,1613,1kg,colocasiaLeaves,19 - 26,18 - 20,resource/images/vegetables/colocasiaLeaves-64.png,1,0.85,4/3/2022
3642,Colocasia,26,64,96,1677,1kg,colocasia,31 - 43,30 - 33,resource/images/vegetables/colocasia-64.png,1,0.66,4/3/2022
3643,Coriander Leaves,10,64,56,1741,1kg,corianderLeaves,17-Dec,13-Dec,resource/images/vegetables/corianderLeaves-64.png,1,1.12,4/3/2022
3644,Corn,26,111,64,1805,1kg,corn,31 - 43,30 - 33,resource/images/vegetables/corn-64.png,0.8,1.7,4/3/2022
3645,Cucumber,12,64,92,1916,1kg,cucumber,14 - 20,14 - 15,resource/images/vegetables/cucumber-64.png,1,0.7,4/3/2022
3646,Curry Leaves,35,81,64,1980,1kg,curryLeaves,42 - 58,40 - 44,resource/images/vegetables/curryLeaves-64.png,1,1.26,4/3/2022
3647,Dill Leaves,14,77,64,2061,1kg,dillLeaves,17 - 23,16 - 18,resource/images/vegetables/dillLeaves-64.png,1,1.16,4/3/2022
3648,Drumsticks,60,64,87,2138,1kg,drumsticks,72 - 99,69 - 76,resource/images/vegetables/drumsticks-64.png,1,0.74,4/3/2022
3649,Brinjal,25,86,64,2202,1kg,brinjal,30 - 41,29 - 32,resource/images/vegetables/brinjal-64.png,1,1.31,4/3/2022
3650,Brinjal (Big),26,71,64,2288,1kg,brinjalBig,31 - 43,30 - 33,resource/images/vegetables/brinjalBig-64.png,1,1.13,4/3/2022
3651,Elephant Yam,26,64,86,2423,1kg,elephantYam,31 - 43,30 - 33,resource/images/vegetables/elephantYam-64.png,1,0.75,4/3/2022
3652,Fenugreek Leaves,12,64,91,2551,1kg,fenugreekLeaves,14 - 20,14 - 15,resource/images/vegetables/fenugreekLeaves-64.png,1,0.71,4/3/2022
3653,French Beans,27,64,97,2615,1kg,frenchBeans,32 - 45,31 - 34,resource/images/vegetables/frenchBeans-64.png,1,0.67,4/3/2022
3654,Garlic,60,68,64,2679,1kg,garlic,72 - 99,69 - 76,resource/images/vegetables/garlic-64.png,1,1.04,4/3/2022
3655,Ginger,43,64,71,549,1kg,ginger,52 - 71,49 - 55,resource/images/vegetables/ginger-64.png,1,0.92,4/3/2022
3656,Onion Green,45,64,104,2815,1kg,onionGreen,54 - 74,52 - 57,resource/images/vegetables/onionGreen-64.png,1,0.62,4/3/2022
3657,Green Peas,49,64,84,2943,1kg,greenPeas,59 - 81,56 - 62,resource/images/vegetables/greenPeas-64.png,1,0.77,4/3/2022
3658,Ivy Gourd,31,64,96,3007,1kg,ivyGourd,37 - 51,36 - 39,resource/images/vegetables/ivyGourd-64.png,1,0.66,4/3/2022
3659,Lemon (Lime),36,64,72,3071,1kg,lemon,43 - 59,41 - 46,resource/images/vegetables/lemon-64.png,1,0.88,4/3/2022
3660,Mango Raw,58,64,73,3210,1kg,mangoRaw,70 - 96,67 - 74,resource/images/vegetables/mangoRaw-64.png,1,0.87,4/3/2022
3661,Mint Leaves,8,64,101,3274,1kg,mintLeaves,13-Oct,10-Sep,resource/images/vegetables/mintLeaves-64.png,1,0.72,4/3/2022
3662,Mushroom,88,83,64,3338,1kg,mushroom,106 - 145,101 - 112,resource/images/vegetables/mushroom-64.png,0.8,1.29,4/3/2022
3663,Mustard Leaves,17,88,64,3421,1kg,mustardLeaves,20 - 28,20 - 22,resource/images/vegetables/mustardLeaves-64.png,0.8,1.35,4/3/2022
3664,Ladies Finger,20,92,64,3509,1kg,ladiesFinger,24 - 33,23 - 25,resource/images/vegetables/ladiesFinger-64.png,0.8,1.43,4/3/2022
3665,Pumpkin,27,64,65,3601,1kg,pumpkin,32 - 45,31 - 34,resource/images/vegetables/pumpkin-64.png,1,0.98,4/3/2022
3666,Radish,22,88,64,3665,1kg,radish,26 - 36,25 - 28,resource/images/vegetables/radish-64.png,0.9,1.37,4/3/2022
3667,Ridge Gourd,27,64,138,3753,1kg,ridgeGourd,32 - 45,31 - 34,resource/images/vegetables/ridgeGourd-64.png,1.2,0.47,4/3/2022
3668,Shallot (Pearl Onion),31,68,64,3817,1kg,shallot,37 - 51,36 - 39,resource/images/vegetables/shallot-64.png,1,1.06,4/3/2022
3669,Snake Gourd,21,64,139,3885,1kg,snakeGourd,25 - 35,24 - 27,resource/images/vegetables/snakeGourd-64.png,1.2,0.46,4/3/2022
3670,Sorrel Leaves,12,64,79,3949,1kg,sorrelLeaves,14 - 20,14 - 15,resource/images/vegetables/sorrelLeaves-64.png,1,0.82,4/3/2022
3671,Spinach,11,69,64,4013,1kg,spinach,13 - 18,13 - 14,resource/images/vegetables/spinach-64.png,1,1.07,4/3/2022
3672,Sweet Potato,41,64,103,4082,1kg,sweetPotato,49 - 68,47 - 52,resource/images/vegetables/sweetPotato-64.png,1,0.62,4/3/2022
3673,Onion Big,29,64,64,0,1kg,onionBig,35 - 48,33 - 37,resource/images/vegetables/onionBig-64.png,1,1,4/4/2022
3674,Onion Small,30,60,64,64,1kg,onionSmall,36 - 50,35 - 38,resource/images/vegetables/onionSmall-64.png,1,0.94,4/4/2022
3675,Tomato,10,50,64,124,1kg,tomato,17-Dec,13-Dec,resource/images/vegetables/tomato-64.png,1.2,0.77,4/4/2022
3676,Green Chilli,37,69,64,174,1kg,greenChili,44 - 61,43 - 47,resource/images/vegetables/greenChili-64.png,1,1.08,4/4/2022
3677,Beetroot,23,93,64,243,1kg,beetroot,28 - 38,26 - 29,resource/images/vegetables/beetroot-64.png,0.8,1.43,4/4/2022
3678,Potato,24,64,90,400,1kg,potato,29 - 40,28 - 30,resource/images/vegetables/potato-64.png,1,0.72,4/4/2022
3679,Raw Banana (Plantain),6,64,97,336,1kg,plantain,10-Jul,8-Jul,resource/images/vegetables/plantain-64.png,1.2,0.66,4/4/2022
3680,Amaranth Leaves,15,64,78,613,1kg,amaranthLeaves,18 - 25,17 - 19,resource/images/vegetables/amaranthLeaves-64.png,1,0.82,4/4/2022
3681,Amla,50,64,88,677,1kg,amla,60 - 83,58 - 64,resource/images/vegetables/amla-64.png,1.2,0.72,4/4/2022
3682,Ash gourd,18,64,109,741,1kg,ashGourd,22 - 30,21 - 23,resource/images/vegetables/ashGourd-64.png,1,0.59,4/4/2022
3683,Baby Corn,49,64,100,805,1kg,babyCorn,59 - 81,56 - 62,resource/images/vegetables/babyCorn-64.png,1,0.64,4/4/2022
3684,Banana Flower,20,64,107,869,1kg,bananaFlower,24 - 33,23 - 25,resource/images/vegetables/bananaFlower-64.png,1.2,0.61,4/4/2022
3685,Capsicum,32,81,64,933,1kg,capsicum,38 - 53,37 - 41,resource/images/vegetables/capsicum-64.png,0.8,1.26,4/4/2022
3686,Bitter Gourd,29,64,87,1101,1kg,bitterGourd,35 - 48,33 - 37,resource/images/vegetables/bitterGourd-64.png,1.2,0.75,4/4/2022
3687,Bottle Gourd,20,64,64,1165,1kg,bottleGourd,24 - 33,23 - 25,resource/images/vegetables/bottleGourd-64.png,1.2,1,4/4/2022
3688,Butter Beans,48,64,82,1229,1kg,butterBeans,58 - 79,55 - 61,resource/images/vegetables/butterBeans-64.png,1.1,0.8,4/4/2022
3689,Broad Beans,27,64,96,1293,1kg,broadBeans,32 - 45,31 - 34,resource/images/vegetables/broadBeans-64.png,1.2,0.66,4/4/2022
3690,Cabbage,22,64,70,1357,1kg,cabbage,26 - 36,25 - 28,resource/images/vegetables/cabbage-64.png,1,0.92,4/4/2022
3691,Carrot,27,85,64,464,1kg,carrot,32 - 45,31 - 34,resource/images/vegetables/carrot-64.png,1,1.28,4/4/2022
3692,Cauliflower,26,64,71,1421,1kg,cauliflower,31 - 43,30 - 33,resource/images/vegetables/cauliflower-64.png,1,0.92,4/4/2022
3693,Cluster beans,37,64,85,1485,1kg,clusterBeans,44 - 61,43 - 47,resource/images/vegetables/clusterBeans-64.png,1,0.77,4/4/2022
3694,Coconut,23,64,77,1549,1kg,coconut,28 - 38,26 - 29,resource/images/vegetables/coconut-64.png,1,0.85,4/4/2022
3695,Colocasia Leaves,10,64,79,1613,1kg,colocasiaLeaves,17-Dec,13-Dec,resource/images/vegetables/colocasiaLeaves-64.png,1,0.85,4/4/2022
3696,Colocasia,23,64,96,1677,1kg,colocasia,28 - 38,26 - 29,resource/images/vegetables/colocasia-64.png,1,0.66,4/4/2022
3697,Coriander Leaves,9,64,56,1741,1kg,corianderLeaves,15-Nov,11-Oct,resource/images/vegetables/corianderLeaves-64.png,1,1.12,4/4/2022
3698,Corn,26,111,64,1805,1kg,corn,31 - 43,30 - 33,resource/images/vegetables/corn-64.png,0.8,1.7,4/4/2022
3699,Cucumber,15,64,92,1916,1kg,cucumber,18 - 25,17 - 19,resource/images/vegetables/cucumber-64.png,1,0.7,4/4/2022
3700,Curry Leaves,37,81,64,1980,1kg,curryLeaves,44 - 61,43 - 47,resource/images/vegetables/curryLeaves-64.png,1,1.26,4/4/2022
3701,Dill Leaves,13,77,64,2061,1kg,dillLeaves,16 - 21,15 - 17,resource/images/vegetables/dillLeaves-64.png,1,1.16,4/4/2022
3702,Drumsticks,40,64,87,2138,1kg,drumsticks,48 - 66,46 - 51,resource/images/vegetables/drumsticks-64.png,1,0.74,4/4/2022
3703,Brinjal,26,86,64,2202,1kg,brinjal,31 - 43,30 - 33,resource/images/vegetables/brinjal-64.png,1,1.31,4/4/2022
3704,Brinjal (Big),27,71,64,2288,1kg,brinjalBig,32 - 45,31 - 34,resource/images/vegetables/brinjalBig-64.png,1,1.13,4/4/2022
3705,Elephant Yam,30,64,86,2423,1kg,elephantYam,36 - 50,35 - 38,resource/images/vegetables/elephantYam-64.png,1,0.75,4/4/2022
3706,Fenugreek Leaves,15,64,91,2551,1kg,fenugreekLeaves,18 - 25,17 - 19,resource/images/vegetables/fenugreekLeaves-64.png,1,0.71,4/4/2022
3707,French Beans,26,64,97,2615,1kg,frenchBeans,31 - 43,30 - 33,resource/images/vegetables/frenchBeans-64.png,1,0.67,4/4/2022
3708,Garlic,67,68,64,2679,1kg,garlic,80 - 111,77 - 85,resource/images/vegetables/garlic-64.png,1,1.04,4/4/2022
3709,Ginger,43,64,71,549,1kg,ginger,52 - 71,49 - 55,resource/images/vegetables/ginger-64.png,1,0.92,4/4/2022
3710,Onion Green,39,64,104,2815,1kg,onionGreen,47 - 64,45 - 50,resource/images/vegetables/onionGreen-64.png,1,0.62,4/4/2022
3711,Green Peas,45,64,84,2943,1kg,greenPeas,54 - 74,52 - 57,resource/images/vegetables/greenPeas-64.png,1,0.77,4/4/2022
3712,Ivy Gourd,30,64,96,3007,1kg,ivyGourd,36 - 50,35 - 38,resource/images/vegetables/ivyGourd-64.png,1,0.66,4/4/2022
3713,Lemon (Lime),39,64,72,3071,1kg,lemon,47 - 64,45 - 50,resource/images/vegetables/lemon-64.png,1,0.88,4/4/2022
3714,Mango Raw,49,64,73,3210,1kg,mangoRaw,59 - 81,56 - 62,resource/images/vegetables/mangoRaw-64.png,1,0.87,4/4/2022
3715,Mint Leaves,7,64,101,3274,1kg,mintLeaves,12-Aug,9-Aug,resource/images/vegetables/mintLeaves-64.png,1,0.72,4/4/2022
3716,Mushroom,84,83,64,3338,1kg,mushroom,101 - 139,97 - 107,resource/images/vegetables/mushroom-64.png,0.8,1.29,4/4/2022
3717,Mustard Leaves,20,88,64,3421,1kg,mustardLeaves,24 - 33,23 - 25,resource/images/vegetables/mustardLeaves-64.png,0.8,1.35,4/4/2022
3718,Ladies Finger,18,92,64,3509,1kg,ladiesFinger,22 - 30,21 - 23,resource/images/vegetables/ladiesFinger-64.png,0.8,1.43,4/4/2022
3719,Pumpkin,26,64,65,3601,1kg,pumpkin,31 - 43,30 - 33,resource/images/vegetables/pumpkin-64.png,1,0.98,4/4/2022
3720,Radish,19,88,64,3665,1kg,radish,23 - 31,22 - 24,resource/images/vegetables/radish-64.png,0.9,1.37,4/4/2022
3721,Ridge Gourd,29,64,138,3753,1kg,ridgeGourd,35 - 48,33 - 37,resource/images/vegetables/ridgeGourd-64.png,1.2,0.47,4/4/2022
3722,Shallot (Pearl Onion),30,68,64,3817,1kg,shallot,36 - 50,35 - 38,resource/images/vegetables/shallot-64.png,1,1.06,4/4/2022
3723,Snake Gourd,20,64,139,3885,1kg,snakeGourd,24 - 33,23 - 25,resource/images/vegetables/snakeGourd-64.png,1.2,0.46,4/4/2022
3724,Sorrel Leaves,13,64,79,3949,1kg,sorrelLeaves,16 - 21,15 - 17,resource/images/vegetables/sorrelLeaves-64.png,1,0.82,4/4/2022
3725,Spinach,15,69,64,4013,1kg,spinach,18 - 25,17 - 19,resource/images/vegetables/spinach-64.png,1,1.07,4/4/2022
3726,Sweet Potato,44,64,103,4082,1kg,sweetPotato,53 - 73,51 - 56,resource/images/vegetables/sweetPotato-64.png,1,0.62,4/4/2022
3727,Onion Big,29,64,64,0,1kg,onionBig,35 - 48,33 - 37,resource/images/vegetables/onionBig-64.png,1,1,4/5/2022
3728,Onion Small,30,60,64,64,1kg,onionSmall,36 - 50,35 - 38,resource/images/vegetables/onionSmall-64.png,1,0.94,4/5/2022
3729,Tomato,10,50,64,124,1kg,tomato,17-Dec,13-Dec,resource/images/vegetables/tomato-64.png,1.2,0.77,4/5/2022
3730,Green Chilli,37,69,64,174,1kg,greenChili,44 - 61,43 - 47,resource/images/vegetables/greenChili-64.png,1,1.08,4/5/2022
3731,Beetroot,23,93,64,243,1kg,beetroot,28 - 38,26 - 29,resource/images/vegetables/beetroot-64.png,0.8,1.43,4/5/2022
3732,Potato,24,64,90,400,1kg,potato,29 - 40,28 - 30,resource/images/vegetables/potato-64.png,1,0.72,4/5/2022
3733,Raw Banana (Plantain),6,64,97,336,1kg,plantain,10-Jul,8-Jul,resource/images/vegetables/plantain-64.png,1.2,0.66,4/5/2022
3734,Amaranth Leaves,15,64,78,613,1kg,amaranthLeaves,18 - 25,17 - 19,resource/images/vegetables/amaranthLeaves-64.png,1,0.82,4/5/2022
3735,Amla,50,64,88,677,1kg,amla,60 - 83,58 - 64,resource/images/vegetables/amla-64.png,1.2,0.72,4/5/2022
3736,Ash gourd,18,64,109,741,1kg,ashGourd,22 - 30,21 - 23,resource/images/vegetables/ashGourd-64.png,1,0.59,4/5/2022
3737,Baby Corn,49,64,100,805,1kg,babyCorn,59 - 81,56 - 62,resource/images/vegetables/babyCorn-64.png,1,0.64,4/5/2022
3738,Banana Flower,20,64,107,869,1kg,bananaFlower,24 - 33,23 - 25,resource/images/vegetables/bananaFlower-64.png,1.2,0.61,4/5/2022
3739,Capsicum,32,81,64,933,1kg,capsicum,38 - 53,37 - 41,resource/images/vegetables/capsicum-64.png,0.8,1.26,4/5/2022
3740,Bitter Gourd,29,64,87,1101,1kg,bitterGourd,35 - 48,33 - 37,resource/images/vegetables/bitterGourd-64.png,1.2,0.75,4/5/2022
3741,Bottle Gourd,20,64,64,1165,1kg,bottleGourd,24 - 33,23 - 25,resource/images/vegetables/bottleGourd-64.png,1.2,1,4/5/2022
3742,Butter Beans,48,64,82,1229,1kg,butterBeans,58 - 79,55 - 61,resource/images/vegetables/butterBeans-64.png,1.1,0.8,4/5/2022
3743,Broad Beans,27,64,96,1293,1kg,broadBeans,32 - 45,31 - 34,resource/images/vegetables/broadBeans-64.png,1.2,0.66,4/5/2022
3744,Cabbage,22,64,70,1357,1kg,cabbage,26 - 36,25 - 28,resource/images/vegetables/cabbage-64.png,1,0.92,4/5/2022
3745,Carrot,27,85,64,464,1kg,carrot,32 - 45,31 - 34,resource/images/vegetables/carrot-64.png,1,1.28,4/5/2022
3746,Cauliflower,26,64,71,1421,1kg,cauliflower,31 - 43,30 - 33,resource/images/vegetables/cauliflower-64.png,1,0.92,4/5/2022
3747,Cluster beans,37,64,85,1485,1kg,clusterBeans,44 - 61,43 - 47,resource/images/vegetables/clusterBeans-64.png,1,0.77,4/5/2022
3748,Coconut,23,64,77,1549,1kg,coconut,28 - 38,26 - 29,resource/images/vegetables/coconut-64.png,1,0.85,4/5/2022
3749,Colocasia Leaves,10,64,79,1613,1kg,colocasiaLeaves,17-Dec,13-Dec,resource/images/vegetables/colocasiaLeaves-64.png,1,0.85,4/5/2022
3750,Colocasia,23,64,96,1677,1kg,colocasia,28 - 38,26 - 29,resource/images/vegetables/colocasia-64.png,1,0.66,4/5/2022
3751,Coriander Leaves,9,64,56,1741,1kg,corianderLeaves,15-Nov,11-Oct,resource/images/vegetables/corianderLeaves-64.png,1,1.12,4/5/2022
3752,Corn,26,111,64,1805,1kg,corn,31 - 43,30 - 33,resource/images/vegetables/corn-64.png,0.8,1.7,4/5/2022
3753,Cucumber,15,64,92,1916,1kg,cucumber,18 - 25,17 - 19,resource/images/vegetables/cucumber-64.png,1,0.7,4/5/2022
3754,Curry Leaves,37,81,64,1980,1kg,curryLeaves,44 - 61,43 - 47,resource/images/vegetables/curryLeaves-64.png,1,1.26,4/5/2022
3755,Dill Leaves,13,77,64,2061,1kg,dillLeaves,16 - 21,15 - 17,resource/images/vegetables/dillLeaves-64.png,1,1.16,4/5/2022
3756,Drumsticks,40,64,87,2138,1kg,drumsticks,48 - 66,46 - 51,resource/images/vegetables/drumsticks-64.png,1,0.74,4/5/2022
3757,Brinjal,26,86,64,2202,1kg,brinjal,31 - 43,30 - 33,resource/images/vegetables/brinjal-64.png,1,1.31,4/5/2022
3758,Brinjal (Big),27,71,64,2288,1kg,brinjalBig,32 - 45,31 - 34,resource/images/vegetables/brinjalBig-64.png,1,1.13,4/5/2022
3759,Elephant Yam,30,64,86,2423,1kg,elephantYam,36 - 50,35 - 38,resource/images/vegetables/elephantYam-64.png,1,0.75,4/5/2022
3760,Fenugreek Leaves,15,64,91,2551,1kg,fenugreekLeaves,18 - 25,17 - 19,resource/images/vegetables/fenugreekLeaves-64.png,1,0.71,4/5/2022
3761,French Beans,26,64,97,2615,1kg,frenchBeans,31 - 43,30 - 33,resource/images/vegetables/frenchBeans-64.png,1,0.67,4/5/2022
3762,Garlic,67,68,64,2679,1kg,garlic,80 - 111,77 - 85,resource/images/vegetables/garlic-64.png,1,1.04,4/5/2022
3763,Ginger,43,64,71,549,1kg,ginger,52 - 71,49 - 55,resource/images/vegetables/ginger-64.png,1,0.92,4/5/2022
3764,Onion Green,39,64,104,2815,1kg,onionGreen,47 - 64,45 - 50,resource/images/vegetables/onionGreen-64.png,1,0.62,4/5/2022
3765,Green Peas,45,64,84,2943,1kg,greenPeas,54 - 74,52 - 57,resource/images/vegetables/greenPeas-64.png,1,0.77,4/5/2022
3766,Ivy Gourd,30,64,96,3007,1kg,ivyGourd,36 - 50,35 - 38,resource/images/vegetables/ivyGourd-64.png,1,0.66,4/5/2022
3767,Lemon (Lime),39,64,72,3071,1kg,lemon,47 - 64,45 - 50,resource/images/vegetables/lemon-64.png,1,0.88,4/5/2022
3768,Mango Raw,49,64,73,3210,1kg,mangoRaw,59 - 81,56 - 62,resource/images/vegetables/mangoRaw-64.png,1,0.87,4/5/2022
3769,Mint Leaves,7,64,101,3274,1kg,mintLeaves,12-Aug,9-Aug,resource/images/vegetables/mintLeaves-64.png,1,0.72,4/5/2022
3770,Mushroom,84,83,64,3338,1kg,mushroom,101 - 139,97 - 107,resource/images/vegetables/mushroom-64.png,0.8,1.29,4/5/2022
3771,Mustard Leaves,20,88,64,3421,1kg,mustardLeaves,24 - 33,23 - 25,resource/images/vegetables/mustardLeaves-64.png,0.8,1.35,4/5/2022
3772,Ladies Finger,18,92,64,3509,1kg,ladiesFinger,22 - 30,21 - 23,resource/images/vegetables/ladiesFinger-64.png,0.8,1.43,4/5/2022
3773,Pumpkin,26,64,65,3601,1kg,pumpkin,31 - 43,30 - 33,resource/images/vegetables/pumpkin-64.png,1,0.98,4/5/2022
3774,Radish,19,88,64,3665,1kg,radish,23 - 31,22 - 24,resource/images/vegetables/radish-64.png,0.9,1.37,4/5/2022
3775,Ridge Gourd,29,64,138,3753,1kg,ridgeGourd,35 - 48,33 - 37,resource/images/vegetables/ridgeGourd-64.png,1.2,0.47,4/5/2022
3776,Shallot (Pearl Onion),30,68,64,3817,1kg,shallot,36 - 50,35 - 38,resource/images/vegetables/shallot-64.png,1,1.06,4/5/2022
3777,Snake Gourd,20,64,139,3885,1kg,snakeGourd,24 - 33,23 - 25,resource/images/vegetables/snakeGourd-64.png,1.2,0.46,4/5/2022
3778,Sorrel Leaves,13,64,79,3949,1kg,sorrelLeaves,16 - 21,15 - 17,resource/images/vegetables/sorrelLeaves-64.png,1,0.82,4/5/2022
3779,Spinach,15,69,64,4013,1kg,spinach,18 - 25,17 - 19,resource/images/vegetables/spinach-64.png,1,1.07,4/5/2022
3780,Sweet Potato,44,64,103,4082,1kg,sweetPotato,53 - 73,51 - 56,resource/images/vegetables/sweetPotato-64.png,1,0.62,4/5/2022
3781,Onion Big,29,64,64,0,1kg,onionBig,35 - 48,33 - 37,resource/images/vegetables/onionBig-64.png,1,1,4/6/2022
3782,Onion Small,30,60,64,64,1kg,onionSmall,36 - 50,35 - 38,resource/images/vegetables/onionSmall-64.png,1,0.94,4/6/2022
3783,Tomato,10,50,64,124,1kg,tomato,17-Dec,13-Dec,resource/images/vegetables/tomato-64.png,1.2,0.77,4/6/2022
3784,Green Chilli,37,69,64,174,1kg,greenChili,44 - 61,43 - 47,resource/images/vegetables/greenChili-64.png,1,1.08,4/6/2022
3785,Beetroot,23,93,64,243,1kg,beetroot,28 - 38,26 - 29,resource/images/vegetables/beetroot-64.png,0.8,1.43,4/6/2022
3786,Potato,24,64,90,400,1kg,potato,29 - 40,28 - 30,resource/images/vegetables/potato-64.png,1,0.72,4/6/2022
3787,Raw Banana (Plantain),6,64,97,336,1kg,plantain,10-Jul,8-Jul,resource/images/vegetables/plantain-64.png,1.2,0.66,4/6/2022
3788,Amaranth Leaves,15,64,78,613,1kg,amaranthLeaves,18 - 25,17 - 19,resource/images/vegetables/amaranthLeaves-64.png,1,0.82,4/6/2022
3789,Amla,50,64,88,677,1kg,amla,60 - 83,58 - 64,resource/images/vegetables/amla-64.png,1.2,0.72,4/6/2022
3790,Ash gourd,18,64,109,741,1kg,ashGourd,22 - 30,21 - 23,resource/images/vegetables/ashGourd-64.png,1,0.59,4/6/2022
3791,Baby Corn,49,64,100,805,1kg,babyCorn,59 - 81,56 - 62,resource/images/vegetables/babyCorn-64.png,1,0.64,4/6/2022
3792,Banana Flower,20,64,107,869,1kg,bananaFlower,24 - 33,23 - 25,resource/images/vegetables/bananaFlower-64.png,1.2,0.61,4/6/2022
3793,Capsicum,32,81,64,933,1kg,capsicum,38 - 53,37 - 41,resource/images/vegetables/capsicum-64.png,0.8,1.26,4/6/2022
3794,Bitter Gourd,29,64,87,1101,1kg,bitterGourd,35 - 48,33 - 37,resource/images/vegetables/bitterGourd-64.png,1.2,0.75,4/6/2022
3795,Bottle Gourd,20,64,64,1165,1kg,bottleGourd,24 - 33,23 - 25,resource/images/vegetables/bottleGourd-64.png,1.2,1,4/6/2022
3796,Butter Beans,48,64,82,1229,1kg,butterBeans,58 - 79,55 - 61,resource/images/vegetables/butterBeans-64.png,1.1,0.8,4/6/2022
3797,Broad Beans,27,64,96,1293,1kg,broadBeans,32 - 45,31 - 34,resource/images/vegetables/broadBeans-64.png,1.2,0.66,4/6/2022
3798,Cabbage,22,64,70,1357,1kg,cabbage,26 - 36,25 - 28,resource/images/vegetables/cabbage-64.png,1,0.92,4/6/2022
3799,Carrot,27,85,64,464,1kg,carrot,32 - 45,31 - 34,resource/images/vegetables/carrot-64.png,1,1.28,4/6/2022
3800,Cauliflower,26,64,71,1421,1kg,cauliflower,31 - 43,30 - 33,resource/images/vegetables/cauliflower-64.png,1,0.92,4/6/2022
3801,Cluster beans,37,64,85,1485,1kg,clusterBeans,44 - 61,43 - 47,resource/images/vegetables/clusterBeans-64.png,1,0.77,4/6/2022
3802,Coconut,23,64,77,1549,1kg,coconut,28 - 38,26 - 29,resource/images/vegetables/coconut-64.png,1,0.85,4/6/2022
3803,Colocasia Leaves,10,64,79,1613,1kg,colocasiaLeaves,17-Dec,13-Dec,resource/images/vegetables/colocasiaLeaves-64.png,1,0.85,4/6/2022
3804,Colocasia,23,64,96,1677,1kg,colocasia,28 - 38,26 - 29,resource/images/vegetables/colocasia-64.png,1,0.66,4/6/2022
3805,Coriander Leaves,9,64,56,1741,1kg,corianderLeaves,15-Nov,11-Oct,resource/images/vegetables/corianderLeaves-64.png,1,1.12,4/6/2022
3806,Corn,26,111,64,1805,1kg,corn,31 - 43,30 - 33,resource/images/vegetables/corn-64.png,0.8,1.7,4/6/2022
3807,Cucumber,15,64,92,1916,1kg,cucumber,18 - 25,17 - 19,resource/images/vegetables/cucumber-64.png,1,0.7,4/6/2022
3808,Curry Leaves,37,81,64,1980,1kg,curryLeaves,44 - 61,43 - 47,resource/images/vegetables/curryLeaves-64.png,1,1.26,4/6/2022
3809,Dill Leaves,13,77,64,2061,1kg,dillLeaves,16 - 21,15 - 17,resource/images/vegetables/dillLeaves-64.png,1,1.16,4/6/2022
3810,Drumsticks,40,64,87,2138,1kg,drumsticks,48 - 66,46 - 51,resource/images/vegetables/drumsticks-64.png,1,0.74,4/6/2022
3811,Brinjal,26,86,64,2202,1kg,brinjal,31 - 43,30 - 33,resource/images/vegetables/brinjal-64.png,1,1.31,4/6/2022
3812,Brinjal (Big),27,71,64,2288,1kg,brinjalBig,32 - 45,31 - 34,resource/images/vegetables/brinjalBig-64.png,1,1.13,4/6/2022
3813,Elephant Yam,30,64,86,2423,1kg,elephantYam,36 - 50,35 - 38,resource/images/vegetables/elephantYam-64.png,1,0.75,4/6/2022
3814,Fenugreek Leaves,15,64,91,2551,1kg,fenugreekLeaves,18 - 25,17 - 19,resource/images/vegetables/fenugreekLeaves-64.png,1,0.71,4/6/2022
3815,French Beans,26,64,97,2615,1kg,frenchBeans,31 - 43,30 - 33,resource/images/vegetables/frenchBeans-64.png,1,0.67,4/6/2022
3816,Garlic,67,68,64,2679,1kg,garlic,80 - 111,77 - 85,resource/images/vegetables/garlic-64.png,1,1.04,4/6/2022
3817,Ginger,43,64,71,549,1kg,ginger,52 - 71,49 - 55,resource/images/vegetables/ginger-64.png,1,0.92,4/6/2022
3818,Onion Green,39,64,104,2815,1kg,onionGreen,47 - 64,45 - 50,resource/images/vegetables/onionGreen-64.png,1,0.62,4/6/2022
3819,Green Peas,45,64,84,2943,1kg,greenPeas,54 - 74,52 - 57,resource/images/vegetables/greenPeas-64.png,1,0.77,4/6/2022
